2023-01-06 14:00:25,264: Key.cmd
2023-01-06 14:00:26,061: Key.cmd
2023-01-06 14:00:40,411: 'f'
2023-01-06 14:00:44,706: Key.caps_lock
2023-01-06 14:00:45,272: 'd'
2023-01-06 14:00:45,616: Key.caps_lock
2023-01-06 14:00:46,196: 'r'
2023-01-06 14:00:46,506: 'o'
2023-01-06 14:00:46,803: 's'
2023-01-06 14:00:47,008: 'h'
2023-01-06 14:00:47,521: Key.space
2023-01-06 14:00:47,873: Key.caps_lock
2023-01-06 14:00:48,307: 'r'
2023-01-06 14:00:48,646: Key.caps_lock
2023-01-06 14:00:48,949: 'i'
2023-01-06 14:00:49,346: 'z'
2023-01-06 14:00:49,683: 't'
2023-01-06 14:00:49,862: 'e'
2023-01-06 14:00:50,088: 'r'
2023-01-06 14:00:53,916: 's'
2023-01-06 14:00:54,297: 'o'
2023-01-06 14:00:54,714: 'c'
2023-01-06 14:00:54,959: 'n'
2023-01-06 14:00:55,287: 'a'
2023-01-06 14:00:56,154: 'l'
2023-01-06 14:00:56,740: 'o'
2023-01-06 14:01:00,327: 'p'
2023-01-06 14:01:01,064: Key.enter
2023-01-06 14:01:06,678: 'y'
2023-01-06 14:01:14,135: 'c'
2023-01-06 14:01:14,550: 'u'
2023-01-06 14:01:14,854: 's'
2023-01-06 14:01:15,455: 't'
2023-01-06 14:01:15,806: 'a'
2023-01-06 14:01:16,559: 'k'
2023-01-06 14:01:16,839: 'l'
2023-01-06 14:01:17,086: 'e'
2023-01-06 14:01:17,735: Key.enter
2023-01-06 14:01:26,792: Key.backspace
2023-01-06 14:01:27,294: Key.backspace
2023-01-06 14:01:27,326: Key.backspace
2023-01-06 14:01:27,373: Key.backspace
2023-01-06 14:01:27,403: Key.backspace
2023-01-06 14:01:27,434: Key.backspace
2023-01-06 14:01:27,465: Key.backspace
2023-01-06 14:01:27,496: Key.backspace
2023-01-06 14:01:27,527: Key.backspace
2023-01-06 14:01:27,558: Key.backspace
2023-01-06 14:01:27,589: Key.backspace
2023-01-06 14:01:27,636: Key.backspace
2023-01-06 14:01:27,667: Key.backspace
2023-01-06 14:01:27,698: Key.backspace
2023-01-06 14:01:27,729: Key.backspace
2023-01-06 14:01:27,760: Key.backspace
2023-01-06 14:01:27,792: Key.backspace
2023-01-06 14:01:27,825: Key.backspace
2023-01-06 14:01:30,673: 'n'
2023-01-06 14:01:30,937: 'a'
2023-01-06 14:01:31,161: 'g'
2023-01-06 14:01:31,641: 'l'
2023-01-06 14:01:31,865: 'o'
2023-01-06 14:01:32,081: 'k'
2023-01-06 14:01:32,281: 'o'
2023-01-06 14:01:32,585: Key.space
2023-01-06 14:01:48,148: 'h'
2023-01-06 14:01:48,763: 'a'
2023-01-06 14:01:49,156: 'l'
2023-01-06 14:01:49,380: 'o'
2023-01-06 14:01:50,572: Key.enter
2023-01-06 14:15:21,495: '0'
2023-01-06 14:15:21,874: '9'
2023-01-06 14:15:22,379: '6'
2023-01-06 14:15:22,866: '5'
2023-01-06 14:15:23,993: '4'
2023-01-06 14:15:24,689: '0'
2023-01-06 14:15:25,269: '1'
2023-01-06 14:15:26,494: '6'
2023-01-06 14:15:26,844: '7'
2023-01-06 14:15:27,232: '0'
2023-01-06 14:15:27,610: '7'
2023-01-06 14:15:33,095: '5'
2023-01-06 14:15:33,655: '9'
2023-01-06 14:15:34,357: '4'
2023-01-06 14:15:34,806: '7'
2023-01-06 14:15:35,195: '9'
